procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
57  0      0 390725248      0 397024    0    0     0     0 20029 688314  5  3 93  0  0
87  0      0 390724768      0 397032    0    0     0     4 20819 651662  4  3 93  0  0
42  0      0 390724288      0 397040    0    0     0     0 19199 542647  5  3 93  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
35  0      0 390725056      0 397048    0    0     0     4 21342 830315  4  3 93  0  0
96  0      0 390725568      0 397560    0    0     0    16 19833 1011482  4  3 92  0  0
85  0      0 390724352      0 397572    0    0     0     0 21664 834293  4  3 92  0  0
83  0      0 390723616      0 397576    0    0     0   684 20044 821084  4  3 93  0  0
79  0      0 390722848      0 397592    0    0     0     4 19437 1070427  4  3 93  0  0
73  0      0 390722496      0 397612    0    0     0     0 20061 817792  4  3 93  0  0
64  0      0 390723040      0 397612    0    0     0     8 20476 1408727  4  4 93  0  0
 2  0      0 390703840      0 398072    0    0    96     0 15704 534779  5  2 93  0  0
 2  0      0 390935936      0 397812    0    0    32    64 2548  950  3  0 97  0  0
 2  0      0 390935712      0 397812    0    0     0    24 2219  366  3  0 97  0  0
 2  0      0 390935456      0 397812    0    0     0     4 2208  457  3  0 97  0  0
 2  0      0 390934944      0 397884    0    0     0     0 2497  445  3  0 97  0  0
 2  0      0 390934944      0 397884    0    0     0     4 2281  524  3  0 97  0  0
 2  0      0 390933952      0 397884    0    0     0     4 2199  333  3  0 97  0  0
 2  0      0 390933440      0 397884    0    0     0    24 2244  473  3  0 97  0  0
 0  0      0 390932416      0 397884    0    0     0     0 2096  457  3  0 97  0  0
 0  0      0 390932416      0 397884    0    0     0     4  244  365  0  0 100  0  0
 0  0      0 390932416      0 397988    0    0     0     0  178  240  0  0 100  0  0
 0  0      0 390932672      0 397996    0    0     0     4  204  236  0  0 100  0  0
 0  0      0 390932672      0 398004    0    0     0     0  155  218  0  0 100  0  0
 0  0      0 390932672      0 398012    0    0     0   216  260  359  0  0 100  0  0
