procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
68  0      0 390076832      0 471636    0    0     0     0 23591 749902  4  4 92  0  0
12  0      0 390057344      0 471636    0    0     0     0 23081 381252  4  3 93  0  0
35  0      0 390054560      0 471636    0    0     0     4 24904 686489  4  4 92  0  0
44  0      0 390061728      0 471636    0    0     0    40 24513 312718  4  3 92  0  0
35  0      0 390054336      0 471636    0    0     0     4 24908 193716  4  3 92  0  0
69  0      0 390051584      0 471636    0    0     0     0 23567 503363  4  3 92  0  0
62  0      0 390054432      0 471704    0    0     0    16 24828 395411  4  3 92  0  0
 7  0      0 390061728      0 471704    0    0     0     0 23474 457179  4  3 93  0  0
55  0      0 390065056      0 471796    0    0     0     4 23618 736833  4  4 92  0  0
41  0      0 390052256      0 471804    0    0     0   716 23870 363173  4  3 92  0  0
47  0      0 390053024      0 471812    0    0     0     4 24667 371135  4  3 92  0  0
55  0      0 390060064      0 471820    0    0     0     0 24256 123728  5  3 92  0  0
55  0      0 390037888      0 471828    0    0     0    16 23640 149763  5  3 92  0  0
28  0      0 390037184      0 471836    0    0     0     8 23295 607548  4  3 93  0  0
13  0      0 390042784      0 471844    0    0     0    12 24293 274437  4  3 92  0  0
35  0      0 390053504      0 471852    0    0     0    40 24749 125466  4  3 92  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
37  0      0 390050400      0 471860    0    0     0    12 23981 172653  5  3 92  0  0
43  0      0 390032064      0 471868    0    0     0     0 24376 199093  5  3 92  0  0
35  0      0 390036416      0 471948    0    0     0    16 23593 177523  5  3 92  0  0
16  0      0 390048256      0 471948    0    0     0    60 23665 240582  4  3 92  0  0
46  0      0 390048768      0 471948    0    0     0     4 22848 478236  4  3 92  0  0
23  0      0 390056416      0 471948    0    0     0    40 23521 426774  4  3 92  0  0
16  0      0 390057216      0 471948    0    0     0     8 23511 436702  4  3 93  0  0
 0  0      0 390042144      0 472256    0    0   128    16 16937 118725  4  2 94  0  0
 0  0      0 390290880      0 472124    0    0    32     0  311  391  0  0 100  0  0
 0  0      0 390291392      0 472124    0    0     0     4  272  344  0  0 100  0  0
 0  0      0 390291904      0 472192    0    0     0     4  348  244  0  0 100  0  0
 0  0      0 390291904      0 472192    0    0     0    44  132  186  0  0 100  0  0
 0  0      0 390292384      0 472192    0    0     0     4  169  213  0  0 100  0  0
 0  0      0 390292672      0 472260    0    0     0     4  203  329  0  0 100  0  0
 0  0      0 390293184      0 472264    0    0     0    20  162  186  0  0 100  0  0
 0  0      0 390293184      0 472276    0    0     0     0  156  184  0  0 100  0  0
 0  0      0 390293184      0 472284    0    0     0     8  199  204  0  0 100  0  0
 0  0      0 390293440      0 472292    0    0     0    40  263  344  0  0 100  0  0
 0  0      0 390294208      0 472300    0    0     0     4  178  196  0  0 100  0  0
 0  0      0 390294944      0 472308    0    0     0     0  162  185  0  0 100  0  0
