procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 7  0      0 390981056      0 420132    0    0     0    12 47608 233406  5  5 90  0  0
 6  0      0 390983200      0 420236    0    0     0    72 44936 239920  5  5 90  0  0
 7  0      0 390982304      0 420272    0    0     0     0 50516 243594  5  5 90  0  0
 6  0      0 390980224      0 420148    0    0     0   848 51101 236646  5  5 90  0  0
 8  0      0 390983392      0 420180    0    0     0    40 44231 243307  5  5 90  0  0
 7  0      0 390983392      0 420220    0    0     0     4 47238 236876  5  5 90  0  0
 7  0      0 390981888      0 420328    0    0     0     0 46070 240558  5  5 90  0  0
 7  0      0 390987264      0 420452    0    0     0    12 45424 231977  5  5 90  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
10  0      0 390989760      0 420488    0    0     0     0 49708 239644  5  5 90  0  0
 6  0      0 390989888      0 420524    0    0     0     4 49342 236031  5  5 90  0  0
 7  0      0 390991584      0 420560    0    0     0    44 47248 238031  5  5 90  0  0
 6  0      0 390992032      0 420588    0    0     0   108 46833 237024  5  5 90  0  0
 6  0      0 390995168      0 420592    0    0     0    20 50040 230307  5  5 90  0  0
10  0      0 390996224      0 420720    0    0     0    12 53624 226261  5  5 90  0  0
 6  0      0 390995264      0 420756    0    0     0     0 50121 235259  5  5 90  0  0
 5  0      0 390998272      0 420700    0    0     0     4 48396 235540  5  5 90  0  0
 9  0      0 390998592      0 420800    0    0     0    40 48367 236683  5  5 90  0  0
 7  0      0 391001216      0 420900    0    0     0     4 48257 240786  5  5 90  0  0
 6  0      0 391001280      0 420968    0    0     0    12 48257 242689  5  5 90  0  0
 9  0      0 391002432      0 421000    0    0     0     0 49093 231931  5  5 90  0  0
 6  0      0 391002752      0 421032    0    0     0     0 47738 240983  5  5 90  0  0
 5  0      0 391006944      0 421072    0    0     0    76 52066 239443  5  5 90  0  0
 6  0      0 391005184      0 421204    0    0     0    44 47322 238415  5  5 90  0  0
 6  0      0 391006720      0 421236    0    0     0    16 48400 236606  5  5 90  0  0
 7  0      0 391005696      0 421272    0    0     0     0 50660 231683  5  5 90  0  0
 7  0      0 391005376      0 421272    0    0     0    12 45846 234256  5  5 90  0  0
 7  0      0 391008160      0 421804    0    0     0     0 48655 244276  5  5 90  0  0
 8  0      0 391010048      0 421832    0    0     0     4 49220 240324  5  5 90  0  0
 4  0      0 391014432      0 421836    0    0     0    40 38619 223088  4  4 92  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 6  0      0 391013984      0 421868    0    0     0     4 47924 242385  5  5 90  0  0
